CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
173,44,Female,12,105.36,Two-Year,None,1264.32,No,Yes
174,48,Female,15,45.28,Two-Year,Fiber Optic,679.2,No,Yes
175,47,Female,5,31.72,Two-Year,Fiber Optic,158.6,Yes,Yes
176,53,Female,66,100.12,Two-Year,Fiber Optic,6607.92,No,Yes
177,45,Female,48,84.87,Month-to-Month,DSL,4073.76,Yes,Yes
178,59,Male,25,92.97,Month-to-Month,None,2324.25,No,Yes
179,42,Male,15,105.43,One-Year,DSL,1581.45,No,Yes
180,72,Female,40,102.25,Month-to-Month,Fiber Optic,4090.0,No,Yes
181,51,Female,2,116.48,Month-to-Month,Fiber Optic,232.96,Yes,Yes
182,36,Female,31,78.23,Month-to-Month,Fiber Optic,2425.13,Yes,Yes
183,34,Female,2,73.96,One-Year,None,147.92,No,Yes
184,49,Male,31,66.17,One-Year,Fiber Optic,2051.27,Yes,No
185,42,Female,6,43.83,Month-to-Month,None,262.98,No,Yes
186,52,Male,41,81.53,Month-to-Month,DSL,3342.73,Yes,Yes
187,49,Female,57,54.93,One-Year,Fiber Optic,3131.0099999999998,Yes,No
188,44,Male,3,112.92,One-Year,None,338.76,No,Yes
189,36,Male,12,82.49,Month-to-Month,Fiber Optic,989.8799999999999,Yes,Yes
190,29,Male,79,83.36,One-Year,None,6585.44,No,Yes
191,40,Male,13,61.94,Month-to-Month,DSL,805.22,No,Yes
192,53,Female,39,34.68,Month-to-Month,Fiber Optic,1352.52,Yes,Yes
193,47,Male,17,32.86,One-Year,Fiber Optic,558.62,Yes,No
194,32,Male,9,68.1,One-Year,None,612.9,No,Yes
195,46,Male,6,37.61,Month-to-Month,DSL,225.66,Yes,Yes
196,48,Male,4,84.62,One-Year,None,338.48,No,Yes
197,36,Male,28,109.29,One-Year,Fiber Optic,3060.1200000000003,Yes,Yes
198,46,Male,9,109.46,One-Year,DSL,985.14,Yes,Yes
199,45,Female,14,89.31,One-Year,Fiber Optic,1250.3400000000001,No,Yes
200,33,Female,13,49.01,One-Year,Fiber Optic,637.13,Yes,No
201,48,Female,17,107.67,Month-to-Month,Fiber Optic,1830.39,Yes,Yes
202,50,Male,40,109.75,Month-to-Month,None,4390.0,No,Yes
203,55,Male,78,47.7,Month-to-Month,Fiber Optic,3720.6000000000004,Yes,Yes
204,55,Female,10,96.37,Month-to-Month,Fiber Optic,963.7,No,Yes
205,31,Female,35,55.79,One-Year,Fiber Optic,1952.6499999999999,Yes,No
206,35,Male,28,102.24,One-Year,DSL,2862.72,Yes,Yes
207,50,Male,17,119.75,Month-to-Month,DSL,2035.75,Yes,Yes
208,50,Male,62,32.7,Month-to-Month,Fiber Optic,2027.4,Yes,Yes
209,50,Male,4,110.76,Month-to-Month,Fiber Optic,443.04,Yes,Yes
210,83,Male,2,86.04,Month-to-Month,DSL,172.08,No,Yes
211,50,Female,38,117.6,One-Year,Fiber Optic,4468.8,No,Yes
212,56,Female,11,71.85,Month-to-Month,Fiber Optic,790.3499999999999,No,Yes
213,54,Female,37,106.26,One-Year,DSL,3931.6200000000003,No,Yes
214,51,Female,44,35.62,Two-Year,Fiber Optic,1567.28,Yes,No
215,41,Female,1,60.18,Month-to-Month,DSL,60.18,Yes,Yes
216,52,Female,42,36.03,Month-to-Month,None,1513.26,No,Yes
217,37,Female,11,117.78,Month-to-Month,None,1295.58,No,Yes
218,42,Male,14,103.53,One-Year,None,1449.42,No,Yes
219,40,Male,19,106.73,One-Year,DSL,2027.8700000000001,Yes,Yes
220,45,Male,52,114.42,Month-to-Month,None,5949.84,No,Yes
221,68,Female,0,37.66,One-Year,None,0.0,No,Yes
222,26,Female,12,64.7,Two-Year,None,776.4000000000001,No,Yes
223,51,Male,23,36.39,Month-to-Month,DSL,836.97,No,Yes
224,28,Female,25,48.97,Month-to-Month,Fiber Optic,1224.25,Yes,Yes
225,40,Male,23,50.64,Two-Year,None,1164.72,No,Yes
226,55,Female,2,72.22,One-Year,Fiber Optic,144.44,Yes,Yes
227,45,Male,7,54.17,Two-Year,Fiber Optic,379.19,No,Yes
228,34,Male,8,39.09,One-Year,Fiber Optic,312.72,Yes,Yes
229,37,Female,32,45.07,Two-Year,Fiber Optic,1442.24,Yes,No
230,51,Male,6,43.25,Month-to-Month,DSL,259.5,No,Yes
231,37,Male,4,117.58,One-Year,Fiber Optic,470.32,Yes,Yes
232,47,Male,63,98.34,Two-Year,DSL,6195.42,No,Yes
233,45,Female,0,117.1,One-Year,Fiber Optic,0.0,Yes,Yes
234,38,Female,122,69.58,Month-to-Month,DSL,8488.76,No,Yes
235,66,Male,22,55.05,Month-to-Month,Fiber Optic,1211.1,Yes,Yes
236,51,Female,35,101.85,Month-to-Month,DSL,3564.75,No,Yes
237,24,Female,6,59.36,Month-to-Month,Fiber Optic,356.15999999999997,No,Yes
238,46,Male,0,56.94,Month-to-Month,None,0.0,No,Yes
239,38,Male,26,50.93,One-Year,DSL,1324.18,Yes,No
240,53,Male,35,41.67,One-Year,DSL,1458.45,Yes,No
241,37,Male,26,53.08,Month-to-Month,DSL,1380.08,Yes,Yes
242,43,Female,3,61.98,One-Year,None,185.94,No,Yes
243,50,Male,28,90.66,Month-to-Month,Fiber Optic,2538.48,Yes,Yes
244,53,Female,29,35.63,Month-to-Month,Fiber Optic,1033.27,Yes,Yes
245,32,Female,21,48.95,Month-to-Month,DSL,1027.95,Yes,Yes
246,41,Male,29,102.81,One-Year,Fiber Optic,2981.4900000000002,No,Yes
247,40,Female,37,43.22,Month-to-Month,None,1599.1399999999999,No,Yes
248,38,Male,19,60.84,Month-to-Month,None,1155.96,No,Yes
249,62,Female,1,107.82,Month-to-Month,Fiber Optic,107.82,Yes,Yes
250,49,Female,13,43.94,Two-Year,DSL,571.22,Yes,No
251,32,Female,1,37.45,Month-to-Month,DSL,37.45,Yes,Yes
252,54,Female,10,73.61,One-Year,DSL,736.1,Yes,Yes
253,66,Male,10,57.22,One-Year,DSL,572.2,Yes,Yes
254,55,Female,1,80.71,One-Year,DSL,80.71,Yes,Yes
255,29,Female,8,102.34,Two-Year,DSL,818.72,Yes,Yes
256,40,Female,2,42.34,Month-to-Month,Fiber Optic,84.68,Yes,Yes
257,57,Female,33,82.26,Month-to-Month,None,2714.5800000000004,No,Yes
258,37,Female,59,75.5,Two-Year,Fiber Optic,4454.5,Yes,No
259,49,Male,1,42.97,Month-to-Month,None,42.97,No,Yes
260,52,Male,62,86.16,One-Year,None,5341.92,No,Yes
261,35,Female,14,54.63,One-Year,DSL,764.82,Yes,No
262,44,Male,7,73.91,One-Year,None,517.37,No,Yes
263,12,Female,1,37.4,Two-Year,DSL,37.4,No,Yes
264,34,Female,13,71.36,Two-Year,Fiber Optic,927.68,No,Yes
265,42,Male,31,57.58,One-Year,Fiber Optic,1784.98,Yes,No
266,32,Male,24,104.01,Month-to-Month,None,2496.2400000000002,No,Yes
267,61,Female,1,35.13,Two-Year,DSL,35.13,Yes,Yes
268,30,Male,1,67.67,Month-to-Month,DSL,67.67,Yes,Yes
269,40,Female,10,71.26,Month-to-Month,None,712.6,No,Yes
270,46,Male,6,95.25,Two-Year,DSL,571.5,Yes,Yes
271,59,Female,5,81.69,Month-to-Month,Fiber Optic,408.45,Yes,Yes
272,30,Male,6,90.05,Month-to-Month,None,540.3,No,Yes
273,56,Female,32,99.93,Month-to-Month,None,3197.76,No,Yes
274,45,Male,52,107.6,Two-Year,None,5595.2,No,Yes
275,35,Female,10,58.25,One-Year,None,582.5,No,Yes
276,49,Male,47,78.42,One-Year,DSL,3685.7400000000002,Yes,No
277,46,Female,7,105.61,Month-to-Month,None,739.27,No,Yes
278,38,Female,12,119.05,One-Year,Fiber Optic,1428.6,No,Yes
279,45,Male,5,110.06,One-Year,Fiber Optic,550.3,Yes,Yes
280,41,Male,20,63.43,Month-to-Month,DSL,1268.6,No,Yes
281,46,Male,77,47.56,Month-to-Month,Fiber Optic,3662.1200000000003,No,Yes
282,51,Female,18,74.05,Month-to-Month,None,1332.8999999999999,No,Yes
283,60,Female,8,96.75,Two-Year,None,774.0,No,Yes
284,32,Female,20,74.33,One-Year,Fiber Optic,1486.6,Yes,No
285,66,Male,2,73.49,Two-Year,DSL,146.98,No,Yes
286,25,Male,43,105.44,Month-to-Month,Fiber Optic,4533.92,No,Yes
287,43,Female,13,62.53,One-Year,None,812.89,No,Yes
288,50,Female,11,107.38,One-Year,None,1181.1799999999998,No,Yes
289,47,Female,17,66.61,One-Year,Fiber Optic,1132.37,Yes,No
290,38,Male,19,59.54,Two-Year,DSL,1131.26,Yes,No
291,42,Female,1,70.86,Month-to-Month,Fiber Optic,70.86,Yes,Yes
292,40,Male,22,98.62,Month-to-Month,Fiber Optic,2169.6400000000003,Yes,Yes
293,39,Male,5,41.34,One-Year,None,206.70000000000002,No,Yes
294,53,Female,25,47.68,One-Year,Fiber Optic,1192.0,No,Yes
295,48,Female,34,115.63,One-Year,Fiber Optic,3931.42,Yes,Yes
296,38,Female,32,45.79,Month-to-Month,Fiber Optic,1465.28,Yes,Yes
297,53,Male,16,81.1,One-Year,DSL,1297.6,Yes,No
298,48,Male,14,82.14,Month-to-Month,None,1149.96,No,Yes
299,53,Female,3,74.07,Month-to-Month,Fiber Optic,222.20999999999998,No,Yes
300,51,Female,29,88.03,One-Year,Fiber Optic,2552.87,Yes,No
301,36,Male,6,50.68,One-Year,Fiber Optic,304.08,Yes,Yes
302,39,Male,13,79.74,Month-to-Month,Fiber Optic,1036.62,Yes,Yes
303,52,Male,6,63.5,Month-to-Month,Fiber Optic,381.0,No,Yes
304,51,Female,2,89.55,Month-to-Month,None,179.1,No,Yes
305,44,Male,19,42.71,Month-to-Month,DSL,811.49,Yes,Yes
306,46,Male,1,81.38,One-Year,Fiber Optic,81.38,Yes,Yes
307,57,Male,27,46.67,Two-Year,DSL,1260.0900000000001,Yes,No
308,39,Male,7,55.08,Month-to-Month,Fiber Optic,385.56,No,Yes
309,50,Male,0,49.68,One-Year,DSL,0.0,Yes,Yes
310,42,Female,14,46.46,Two-Year,Fiber Optic,650.44,Yes,No
311,42,Male,0,104.31,Two-Year,None,0.0,No,Yes
312,55,Female,6,55.71,Month-to-Month,None,334.26,No,Yes
313,53,Male,24,113.44,Two-Year,Fiber Optic,2722.56,No,Yes
314,53,Female,1,117.29,Month-to-Month,Fiber Optic,117.29,Yes,Yes
315,58,Female,36,81.41,Month-to-Month,DSL,2930.7599999999998,No,Yes
316,45,Female,0,42.87,Month-to-Month,Fiber Optic,0.0,No,Yes
317,51,Female,5,63.71,Month-to-Month,None,318.55,No,Yes
318,41,Male,27,101.8,Month-to-Month,DSL,2748.6,Yes,Yes
319,48,Male,7,63.07,Month-to-Month,Fiber Optic,441.49,Yes,Yes
320,43,Female,2,37.83,Month-to-Month,None,75.66,No,Yes
321,45,Female,8,80.11,Two-Year,None,640.88,No,Yes
322,50,Female,6,106.06,Two-Year,DSL,636.36,Yes,Yes
323,36,Female,36,101.63,Month-to-Month,Fiber Optic,3658.68,Yes,Yes
324,65,Female,7,45.76,Two-Year,DSL,320.32,No,Yes
325,34,Male,31,90.55,Two-Year,DSL,2807.0499999999997,Yes,No
326,32,Male,44,49.85,One-Year,None,2193.4,No,Yes
327,56,Female,11,49.64,Month-to-Month,None,546.04,No,Yes
328,52,Female,48,108.67,One-Year,None,5216.16,No,Yes
329,51,Male,9,52.47,Two-Year,DSL,472.23,No,Yes
330,51,Female,66,53.69,One-Year,None,3543.54,No,Yes
331,44,Male,1,30.06,Month-to-Month,Fiber Optic,30.06,No,Yes
332,36,Female,23,108.36,One-Year,Fiber Optic,2492.28,Yes,Yes
333,45,Male,13,101.33,One-Year,Fiber Optic,1317.29,Yes,Yes
334,38,Male,9,86.46,One-Year,DSL,778.14,Yes,Yes
335,54,Female,20,97.52,Month-to-Month,None,1950.3999999999999,No,Yes
336,43,Male,24,43.68,Month-to-Month,Fiber Optic,1048.32,Yes,Yes
337,36,Female,0,71.25,Two-Year,DSL,0.0,Yes,Yes
338,41,Female,3,61.61,Two-Year,DSL,184.82999999999998,Yes,Yes
339,49,Female,24,38.44,Month-to-Month,DSL,922.56,Yes,Yes
340,39,Male,21,73.75,Two-Year,DSL,1548.75,Yes,No
341,36,Male,67,112.87,Month-to-Month,Fiber Optic,7562.29,No,Yes
342,47,Male,28,33.61,One-Year,None,941.0799999999999,No,Yes
343,47,Female,60,56.23,One-Year,DSL,3373.7999999999997,Yes,No
344,39,Female,24,48.68,Two-Year,DSL,1168.32,Yes,No
345,40,Female,7,51.43,Two-Year,Fiber Optic,360.01,No,Yes
346,47,Female,2,111.76,Month-to-Month,None,223.52,No,Yes
347,30,Female,30,72.13,Two-Year,Fiber Optic,2163.8999999999996,Yes,No
348,30,Female,20,71.97,Month-to-Month,Fiber Optic,1439.4,No,Yes
349,37,Male,0,98.45,One-Year,Fiber Optic,0.0,Yes,Yes
350,42,Female,8,43.9,One-Year,DSL,351.2,Yes,Yes
351,48,Male,62,73.85,One-Year,DSL,4578.7,No,Yes
352,59,Female,13,68.7,Month-to-Month,None,893.1,No,Yes
353,53,Female,11,83.72,Two-Year,Fiber Optic,920.92,Yes,Yes
354,43,Female,12,119.96,Month-to-Month,Fiber Optic,1439.52,No,Yes
355,44,Male,4,99.25,Month-to-Month,None,397.0,No,Yes
356,34,Male,9,65.81,One-Year,Fiber Optic,592.29,No,Yes
357,44,Male,9,104.48,Month-to-Month,DSL,940.32,Yes,Yes
358,42,Male,1,45.36,Two-Year,Fiber Optic,45.36,Yes,Yes
359,48,Male,29,32.74,Month-to-Month,DSL,949.46,Yes,Yes
360,36,Female,10,48.4,Month-to-Month,DSL,484.0,Yes,Yes
361,50,Female,34,60.64,Two-Year,Fiber Optic,2061.76,Yes,No
362,60,Male,37,75.95,One-Year,None,2810.15,No,Yes
363,43,Male,4,85.36,Month-to-Month,None,341.44,No,Yes
364,49,Male,21,111.95,One-Year,Fiber Optic,2350.9500000000003,Yes,Yes
365,51,Female,12,75.89,One-Year,DSL,910.6800000000001,Yes,No
366,40,Female,42,75.11,One-Year,DSL,3154.62,Yes,No
367,47,Female,4,34.52,Month-to-Month,None,138.08,No,Yes
368,45,Female,22,33.14,Two-Year,Fiber Optic,729.08,No,Yes
369,45,Female,18,79.6,Two-Year,Fiber Optic,1432.8,No,Yes
370,37,Female,6,69.44,One-Year,None,416.64,No,Yes
371,45,Male,2,105.53,Month-to-Month,None,211.06,No,Yes
372,49,Female,21,44.46,Two-Year,None,933.66,No,Yes
373,59,Male,26,32.25,One-Year,DSL,838.5,Yes,No
374,54,Female,7,70.41,One-Year,None,492.87,No,Yes
375,66,Male,20,51.37,Month-to-Month,None,1027.3999999999999,No,Yes
376,37,Female,10,34.47,Two-Year,DSL,344.7,No,Yes
377,53,Female,24,95.21,One-Year,Fiber Optic,2285.04,Yes,No
378,46,Female,4,40.04,Month-to-Month,Fiber Optic,160.16,Yes,Yes
